tag,id,name,classes,text,xpath
"div","","","col-sm-6","","/html/body/section/div/div/div/div/div/div[3]/div[2]"
"div","","","container","Category
						
							
							
								
									
										
											
											Women
										
									
								","/html/body/section[2]/div"
"div","","","row","Category
						
							
							
								
									
										
											
											Women
										
									
								","/html/body/section[2]/div/div"
"div","","","col-sm-3","Category
						
							
							
								
									
										
											
											Women
										
									
								","/html/body/section[2]/div/div/div"
"div","","","left-sidebar","Category
						
							
							
								
									
										
											
											Women
										
									
								","/html/body/section[2]/div/div/div/div"
"div","accordian","","panel-group category-products","Women
										
									
								
								
									
										
											
											Dress 
											
											T","//*[@id=accordian]"
"div","","","panel panel-default","Women
										
									
								
								
									
										
											
											Dress 
											
											T","/html/body/section[2]/div/div/div/div/div/div"
"div","","","panel-heading","Women","/html/body/section[2]/div/div/div/div/div/div/div"
"div","Women","","panel-collapse collapse","Dress 
											
											Tops 
											
											Saree","//*[@id=Women]"
"div","","","panel-body","Dress 
											
											Tops 
											
											Saree","/html/body/section[2]/div/div/div/div/div/div/div[2]/div"
"div","","","panel panel-default","Men
										
									
								
								
									
										
											
											Tshirts 
											
											J","/html/body/section[2]/div/div/div/div/div/div[2]"
"div","","","panel-heading","Men","/html/body/section[2]/div/div/div/div/div/div[2]/div"
"div","Men","","panel-collapse collapse","Tshirts 
											
											Jeans","//*[@id=Men]"
"div","","","panel-body","Tshirts 
											
											Jeans","/html/body/section[2]/div/div/div/div/div/div[2]/div[2]/div"
"div","","","panel panel-default","Kids
										
									
								
								
									
										
											
											Dress 
											
											To","/html/body/section[2]/div/div/div/div/div/div[3]"
"div","","","panel-heading","Kids","/html/body/section[2]/div/div/div/div/div/div[3]/div"
"div","Kids","","panel-collapse collapse","Dress 
											
											Tops & Shirts","//*[@id=Kids]"
"div","","","panel-body","Dress 
											
											Tops & Shirts","/html/body/section[2]/div/div/div/div/div/div[3]/div[2]/div"
"div","","","google-auto-placed","","/html/body/section[2]/div/div/div/div/div[2]"
"div","aswift_1_host","","","","//*[@id=aswift_1_host]"
"div","","","brands_products","Brands
							
								
									
									 (6)Polo
									
									 (5)H&M
									
									 (5)Madame
									
	","/html/body/section[2]/div/div/div/div/div[3]"
"div","","","brands-name","(6)Polo
									
									 (5)H&M
									
									 (5)Madame
									
									 (3)Mast & Harbour
									
							","/html/body/section[2]/div/div/div/div/div[3]/div"
"div","","","col-sm-9 padding-right","Features Items

						
						
							
								
									
										
											
										
										Added!
									
	","/html/body/section[2]/div/div/div[2]"
"div","","","features_items","Features Items

						
						
							
								
									
										
											
										
										Added!
									
	","/html/body/section[2]/div/div/div[2]/div"
"div","cartModal","","modal fade","
										
										Added!
									
									
										Your product has been added to cart.
										View Cart
			","//*[@id=cartModal]"
"div","","","modal-dialog modal-confirm","
										
										Added!
									
									
										Your product has been added to cart.
										View Cart
			","/html/body/section[2]/div/div/div[2]/div/div/div"
"div","","","modal-content","
										
										Added!
									
									
										Your product has been added to cart.
										View Cart
			","/html/body/section[2]/div/div/div[2]/div/div/div/div"
"div","","","modal-header","
										
										Added!","/html/body/section[2]/div/div/div[2]/div/div/div/div/div"
"div","","","icon-box","","/html/body/section[2]/div/div/div[2]/div/div/div/div/div/div"
"div","","","modal-body","Your product has been added to cart.
										View Cart","/html/body/section[2]/div/div/div[2]/div/div/div/div/div[2]"
"div","","","modal-footer","Continue Shopping","/html/body/section[2]/div/div/div[2]/div/div/div/div/div[3]"
"div","","","col-sm-4","Rs. 500
											Blue Top
											Add to cart
										
										
											
												Rs. 500
												Blu","/html/body/section[2]/div/div/div[2]/div/div[2]"
